currency,rate_to_usd,as_of_gmt
AUD,0.674311,2026-01-07 16:55:00 GMT
BGN,0.6,2026-01-07 16:55:00 GMT
BOB,0.144688,2026-01-07 16:55:00 GMT
BRL,0.185503,2026-01-07 16:55:00 GMT
CAD,0.724081,2026-01-07 16:55:00 GMT
CHF,1.25653,2026-01-07 16:55:00 GMT
CLP,0.001118,2026-01-07 16:55:00 GMT
COP,0.000269,2026-01-07 16:55:00 GMT
CRC,0.002011,2026-01-07 16:55:00 GMT
CZK,0.048109,2026-01-07 16:55:00 GMT
DOP,0.015734,2026-01-07 16:55:00 GMT
EUR,1.168633,2026-01-07 16:55:00 GMT
GBP,1.349462,2026-01-07 16:55:00 GMT
GTQ,0.130486,2026-01-07 16:55:00 GMT
HKD,0.128419,2026-01-07 16:55:00 GMT
HRK,0.155,2026-01-07 16:55:00 GMT
HUF,0.003035,2026-01-07 16:55:00 GMT
INR,0.011126,2026-01-07 16:55:00 GMT
JPY,0.006389,2026-01-07 16:55:00 GMT
KWD,3.25956,2026-01-07 16:55:00 GMT
MXN,0.055614,2026-01-07 16:55:00 GMT
NZD,0.578346,2026-01-07 16:55:00 GMT
PEN,0.297436,2026-01-07 16:55:00 GMT
PHP,0.016867,2026-01-07 16:55:00 GMT
PLN,0.277233,2026-01-07 16:55:00 GMT
PYG,0.000151,2026-01-07 16:55:00 GMT
RON,0.229617,2026-01-07 16:55:00 GMT
RSD,0.009971,2026-01-07 16:55:00 GMT
SEK,0.108821,2026-01-07 16:55:00 GMT
SGD,0.780457,2026-01-07 16:55:00 GMT
TRY,0.023231,2026-01-07 16:55:00 GMT
USD,1,2026-01-07 16:55:00 GMT
UYU,0.025647,2026-01-07 16:55:00 GMT
VND,0.000038,2026-01-07 16:55:00 GMT
