ip,reason
10.0.0.64,No_Data_From_DB
10.1.0.68,No_Data_From_DB
10.1.100.44,No_Data_From_DB
10.1.13.75,No_Data_From_DB
10.1.233.22,No_Data_From_DB
10.1.64.111,No_Data_From_DB
10.10.1.119,No_Data_From_DB
10.10.144.43,No_Data_From_DB
10.10.20.219,No_Data_From_DB
10.10.23.93,No_Data_From_DB
10.10.46.62,No_Data_From_DB
10.100.71.65,No_Data_From_DB
10.100.72.31,No_Data_From_DB
10.101.0.208,No_Data_From_DB
10.106.251.240,No_Data_From_DB
10.107.41.111,No_Data_From_DB
10.11.11.8,No_Data_From_DB
10.11.112.114,No_Data_From_DB
10.11.209.56,No_Data_From_DB
10.11.32.71,No_Data_From_DB
10.11.54.31,No_Data_From_DB
10.113.175.157,No_Data_From_DB
10.115.12.207,No_Data_From_DB
10.118.18.43,No_Data_From_DB
10.12.80.57,No_Data_From_DB
10.120.5.229,No_Data_From_DB
10.124.88.99,No_Data_From_DB
10.125.102.61,No_Data_From_DB
10.128.174.65,No_Data_From_DB
10.128.174.66,No_Data_From_DB
10.129.128.81,No_Data_From_DB
10.130.24.213,No_Data_From_DB
10.133.19.182,No_Data_From_DB
10.134.73.12,No_Data_From_DB
10.135.42.41,No_Data_From_DB
10.136.216.96,No_Data_From_DB
10.14.64.89,No_Data_From_DB
10.145.27.1,No_Data_From_DB
10.145.27.4,No_Data_From_DB
10.145.29.17,No_Data_From_DB
10.145.29.24,No_Data_From_DB
10.145.29.45,No_Data_From_DB
10.145.29.5,No_Data_From_DB
10.145.29.54,No_Data_From_DB
10.145.29.67,No_Data_From_DB
10.145.29.68,No_Data_From_DB
10.145.30.19,No_Data_From_DB
10.145.30.20,No_Data_From_DB
10.145.30.30,No_Data_From_DB
10.145.30.44,No_Data_From_DB
10.15.10.234,No_Data_From_DB
10.150.130.106,No_Data_From_DB
10.150.136.38,No_Data_From_DB
10.150.28.93,No_Data_From_DB
10.150.36.196,No_Data_From_DB
10.152.85.186,No_Data_From_DB
10.153.27.13,No_Data_From_DB
10.156.49.177,No_Data_From_DB
10.16.135.111,No_Data_From_DB
10.16.3.199,No_Data_From_DB
10.16.40.138,No_Data_From_DB
10.16.41.19,No_Data_From_DB
10.16.60.140,No_Data_From_DB
10.16.93.36,No_Data_From_DB
10.16.93.45,No_Data_From_DB
10.16.95.127,No_Data_From_DB
10.16.95.35,No_Data_From_DB
10.160.189.254,No_Data_From_DB
10.160.211.253,No_Data_From_DB
10.160.48.82,No_Data_From_DB
10.162.13.27,No_Data_From_DB
10.164.183.21,No_Data_From_DB
10.165.15.121,No_Data_From_DB
10.165.194.7,No_Data_From_DB
10.165.5.91,No_Data_From_DB
10.166.33.132,No_Data_From_DB
10.17.160.140,No_Data_From_DB
10.17.217.153,No_Data_From_DB
10.170.13.231,No_Data_From_DB
10.170.14.83,No_Data_From_DB
10.172.50.93,No_Data_From_DB
10.173.252.161,No_Data_From_DB
10.18.20.93,No_Data_From_DB
10.18.25.69,No_Data_From_DB
10.18.73.91,No_Data_From_DB
10.182.7.1,No_Data_From_DB
10.183.131.39,No_Data_From_DB
10.184.1.114,No_Data_From_DB
10.192.214.57,No_Data_From_DB
10.192.221.50,No_Data_From_DB
10.192.243.26,No_Data_From_DB
10.192.67.61,No_Data_From_DB
10.193.7.18,No_Data_From_DB
10.2.1.76,No_Data_From_DB
10.2.1.92,No_Data_From_DB
10.2.101.117,No_Data_From_DB
10.2.128.74,No_Data_From_DB
10.2.132.100,No_Data_From_DB
10.2.176.78,No_Data_From_DB
10.2.37.144,No_Data_From_DB
10.2.4.48,No_Data_From_DB
10.20.100.90,No_Data_From_DB
10.20.20.127,No_Data_From_DB
10.20.20.155,No_Data_From_DB
10.20.20.162,No_Data_From_DB
10.20.20.166,No_Data_From_DB
10.20.56.108,No_Data_From_DB
10.20.7.220,No_Data_From_DB
10.20.8.157,No_Data_From_DB
10.205.3.4,No_Data_From_DB
10.205.3.5,No_Data_From_DB
10.205.3.6,No_Data_From_DB
10.208.4.117,No_Data_From_DB
10.212.15.94,No_Data_From_DB
10.214.1.21,No_Data_From_DB
10.22.112.103,No_Data_From_DB
10.220.1.115,No_Data_From_DB
10.220.33.88,No_Data_From_DB
10.223.45.182,No_Data_From_DB
10.227.134.27,No_Data_From_DB
10.233.22.44,No_Data_From_DB
10.233.74.131,No_Data_From_DB
10.238.207.178,No_Data_From_DB
10.24.33.141,No_Data_From_DB
10.240.129.62,No_Data_From_DB
10.240.8.129,No_Data_From_DB
10.241.65.76,No_Data_From_DB
10.242.6.162,No_Data_From_DB
10.249.139.209,No_Data_From_DB
10.249.144.103,No_Data_From_DB
10.249.9.22,No_Data_From_DB
10.251.12.9,No_Data_From_DB
10.254.223.10,No_Data_From_DB
10.26.123.214,No_Data_From_DB
10.28.215.79,No_Data_From_DB
10.3.2.36,No_Data_From_DB
10.3.50.139,No_Data_From_DB
10.3.50.140,No_Data_From_DB
10.30.133.36,No_Data_From_DB
10.30.133.4,No_Data_From_DB
10.30.186.138,No_Data_From_DB
10.30.2.213,No_Data_From_DB
10.32.112.117,No_Data_From_DB
10.33.162.57,No_Data_From_DB
10.33.224.174,No_Data_From_DB
10.33.72.126,No_Data_From_DB
10.4.200.147,No_Data_From_DB
10.4.200.188,No_Data_From_DB
10.4.200.191,No_Data_From_DB
10.4.200.250,No_Data_From_DB
10.4.200.34,No_Data_From_DB
10.4.23.2,No_Data_From_DB
10.41.104.76,No_Data_From_DB
10.41.129.209,No_Data_From_DB
10.41.131.113,No_Data_From_DB
10.41.2.93,No_Data_From_DB
10.44.113.60,No_Data_From_DB
10.45.18.115,No_Data_From_DB
10.45.2.115,No_Data_From_DB
10.45.66.120,No_Data_From_DB
10.46.161.60,No_Data_From_DB
10.48.0.78,No_Data_From_DB
10.48.36.119,No_Data_From_DB
10.49.162.103,No_Data_From_DB
10.49.34.103,No_Data_From_DB
10.49.42.221,No_Data_From_DB
10.5.162.83,No_Data_From_DB
10.5.28.178,No_Data_From_DB
10.5.29.194,No_Data_From_DB
10.50.10.26,No_Data_From_DB
10.50.10.31,No_Data_From_DB
10.50.2.153,No_Data_From_DB
10.50.3.55,No_Data_From_DB
10.51.145.41,No_Data_From_DB
10.51.87.73,No_Data_From_DB
10.53.160.137,No_Data_From_DB
10.56.85.143,No_Data_From_DB
10.6.1.211,No_Data_From_DB
10.6.218.50,No_Data_From_DB
10.60.28.29,No_Data_From_DB
10.60.39.111,No_Data_From_DB
10.61.158.244,No_Data_From_DB
10.61.2.252,No_Data_From_DB
10.61.61.249,No_Data_From_DB
10.61.62.96,No_Data_From_DB
10.62.240.52,No_Data_From_DB
10.64.0.50,No_Data_From_DB
10.64.2.214,No_Data_From_DB
10.70.4.45,No_Data_From_DB
10.72.110.50,No_Data_From_DB
10.78.147.53,No_Data_From_DB
10.78.147.58,No_Data_From_DB
10.8.14.104,No_Data_From_DB
10.8.188.168,No_Data_From_DB
10.8.64.18,No_Data_From_DB
10.80.32.11,No_Data_From_DB
10.80.37.177,No_Data_From_DB
10.80.8.93,No_Data_From_DB
10.82.238.249,No_Data_From_DB
10.83.190.124,No_Data_From_DB
10.86.100.252,No_Data_From_DB
10.88.40.126,No_Data_From_DB
10.88.81.160,No_Data_From_DB
10.89.14.36,No_Data_From_DB
10.90.235.79,No_Data_From_DB
10.90.55.8,No_Data_From_DB
10.91.45.83,No_Data_From_DB
10.93.98.143,No_Data_From_DB
10.96.150.21,No_Data_From_DB
100.93.40.66,No_Data_From_DB
102.100.122.111,No_Data_From_DB
102.100.228.158,No_Data_From_DB
102.101.139.224,No_Data_From_DB
102.101.139.40,No_Data_From_DB
102.101.154.109,No_Data_From_DB
102.101.176.246,No_Data_From_DB
102.101.187.141,No_Data_From_DB
102.101.191.161,No_Data_From_DB
102.101.198.124,No_Data_From_DB
102.101.198.147,No_Data_From_DB
102.101.228.170,No_Data_From_DB
102.101.247.98,No_Data_From_DB
102.101.248.154,No_Data_From_DB
102.101.3.115,No_Data_From_DB
102.101.37.88,No_Data_From_DB
102.102.135.33,No_Data_From_DB
102.102.229.107,No_Data_From_DB
102.103.74.120,No_Data_From_DB
102.104.144.211,No_Data_From_DB
102.104.4.26,No_Data_From_DB
102.104.52.216,No_Data_From_DB
102.104.83.27,No_Data_From_DB
102.104.96.58,No_Data_From_DB
102.105.192.129,No_Data_From_DB
102.105.242.97,No_Data_From_DB
102.105.70.9,No_Data_From_DB
102.107.168.1,No_Data_From_DB
102.107.89.154,No_Data_From_DB
102.108.120.35,No_Data_From_DB
102.108.31.122,No_Data_From_DB
102.108.65.237,No_Data_From_DB
102.110.56.224,No_Data_From_DB
102.111.5.57,No_Data_From_DB
102.112.10.31,No_Data_From_DB
102.112.11.42,No_Data_From_DB
102.112.125.205,No_Data_From_DB
102.112.135.66,No_Data_From_DB
102.112.141.197,No_Data_From_DB
102.112.159.131,No_Data_From_DB
102.112.168.221,No_Data_From_DB
102.112.192.250,No_Data_From_DB
102.112.203.190,No_Data_From_DB
102.112.39.90,No_Data_From_DB
102.112.66.116,No_Data_From_DB
102.112.78.158,No_Data_From_DB
102.112.88.2,No_Data_From_DB
102.112.98.65,No_Data_From_DB
102.114.112.186,No_Data_From_DB
102.114.125.169,No_Data_From_DB
102.114.15.10,No_Data_From_DB
102.114.15.112,No_Data_From_DB
102.114.176.96,No_Data_From_DB
102.114.220.249,No_Data_From_DB
102.114.52.209,No_Data_From_DB
102.114.61.0,No_Data_From_DB
102.115.185.137,No_Data_From_DB
102.116.30.165,No_Data_From_DB
102.116.33.172,No_Data_From_DB
102.116.52.165,No_Data_From_DB
102.116.72.233,No_Data_From_DB
102.116.77.132,No_Data_From_DB
102.116.84.1,No_Data_From_DB
102.116.94.173,No_Data_From_DB
102.118.10.102,No_Data_From_DB
102.118.9.69,No_Data_From_DB
